run_id,asset_id,technical_name,source_ref,column_names_text,column_value_semantics_text,y_true,y_pred,y_pred_alt,confidence_score,confidence_margin,uncertainty_entropy,confidence_band,is_error,is_other_pred,is_borderline,is_rare_pred,is_rare_true,review_priority
5,1154652,R_TFLT_CF2,PS_R_TFLT_CF2,OTBI_SRC_INSTANCE | RANGE_FROM | RANGE_TO | SETCNTRLVALUE | SETID | SETID_TREE | TREE_EFFDT | TREE_NAME,OTBI_SRC_INSTANCE:quantity | RANGE_FROM:label | RANGE_TO:label | SETCNTRLVALUE:label | SETID:label | SETID_TREE:label | TREE_EFFDT:date_or_timestamp | TREE_NAME:label,Other,Other,IT & Sécurité,0.99322855,0.98649836,0.020985471,high,0,True,False,False,False,60.68000000715256
5,1099265,COMBO_SEL_11,PS_COMBO_SEL_11,CHARTFIELD | COMBINATION | EFFDT_FROM | EFFDT_TO | PROCESS_GROUP | RANGE_FROM_11 | RANGE_TO_11 | SEQUENCE_NBR_6 | SETID | TREE_EFFDT,CHARTFIELD:label | COMBINATION:label | EFFDT_FROM:date_or_timestamp | EFFDT_TO:date_or_timestamp | PROCESS_GROUP:processing_identifier | RANGE_FROM_11:label | RANGE_TO_11:label | SEQUENCE_NBR_6:quantity | SETID:label | TREE_EFFDT:date_or_timestamp,Other,Other,IT & Sécurité,0.9934533,0.98692244,0.020340076,high,0,True,False,False,False,60.64999997615814
5,1024132,SYSADM.PS_COMBO_SEL_14,PS_COMBO_SEL_14,CHARTFIELD | COMBINATION | EFFDT_FROM | EFFDT_TO | PROCESS_GROUP | RANGE_FROM_14 | RANGE_TO_14 | SEQUENCE_NBR_6 | SETID | TREE_EFFDT,CHARTFIELD:label | COMBINATION:label | EFFDT_FROM:date_or_timestamp | EFFDT_TO:date_or_timestamp | PROCESS_GROUP:processing_identifier | RANGE_FROM_14:label | RANGE_TO_14:label | SEQUENCE_NBR_6:quantity | SETID:label | TREE_EFFDT:date_or_timestamp,Other,Other,IT & Sécurité,0.993558,0.9871451,0.020117348,high,0,True,False,False,False,60.639999985694885
5,1017042,SYSADM.PS_CA_BI_FF_TA5,PS_CA_BI_FF_TA5,BILL_PLAN_ID | BPLAN_LN_NBR | CONTRACT_LINE_NUM | CONTRACT_NUM | CONTRACT_PPD_SEQ | DELETE_ME | EVENT_OCCURRENCE | PROCESS_INSTANCE | XREF_SEQ_NUM | XREF_STATUS,BILL_PLAN_ID:identifier | BPLAN_LN_NBR:quantity | CONTRACT_LINE_NUM:quantity | CONTRACT_NUM:quantity | CONTRACT_PPD_SEQ:quantity | DELETE_ME:label | EVENT_OCCURRENCE:quantity | PROCESS_INSTANCE:processing_identifier | XREF_SEQ_NUM:quantity | XREF_STATUS:status,Other,Other,Finance & Contrôle,0.9941701,0.9895231,0.020145545,high,0,True,False,False,False,60.5799999833107
5,1130249,NET_MANRQST_LNG,PS_NET_MANRQST_LNG,DESCR | LANGUAGE_CD | NET_REF_ID,DESCR:label | LANGUAGE_CD:label | NET_REF_ID:reference_identifier,Other,Other,IT & Sécurité,0.99465746,0.9894878,0.017600903,high,0,True,False,False,False,60.52999997138977
5,1067436,SYSADM.PS_PTSF_CATPSFTSDL,PS_PTSF_CATPSFTSDL,DESCR254 | LANGUAGE_CD | MSGNODENAME | PTSF_SBO_NAME | PTSF_SRCCAT_NAME,DESCR254:label | LANGUAGE_CD:label | MSGNODENAME:label | PTSF_SBO_NAME:label | PTSF_SRCCAT_NAME:label,Other,Other,IT & Sécurité,0.9956598,0.991331,0.014404763,high,0,True,False,False,False,60.43000000715256
5,1042719,SYSADM.PS_IN_ITM_RECD_LST,PS_IN_ITM_RECD_LST,ITM_CHG_REC_LIST | OPRID | RECNAME | RUN_CNTL_ID | WHERE_CLAUSE_LONG2,ITM_CHG_REC_LIST:label | OPRID:user_identifier | RECNAME:label | RUN_CNTL_ID:processing_identifier | WHERE_CLAUSE_LONG2:label,Other,Other,IT & Sécurité,0.99575293,0.9916973,0.014583772,high,0,True,False,False,False,60.41999998688698
5,1082204,SYSADM.PS_WM_CREWSCHD_REQ,PS_WM_CREWSCHD_REQ,BUSINESS_UNIT | CREW_ID | INCLUDE_DETAIL | LANGUAGE_CD | OPRID | PERIOD_FROM_DT | PERIOD_TO_DT | RUN_CNTL_ID | SHOP_ID,BUSINESS_UNIT:label | CREW_ID:identifier | INCLUDE_DETAIL:label | LANGUAGE_CD:label | OPRID:user_identifier | PERIOD_FROM_DT:date_or_timestamp | PERIOD_TO_DT:date_or_timestamp | RUN_CNTL_ID:processing_identifier | SHOP_ID:identifier,Other,Other,Achats & Fournisseurs,0.9959071,0.9930435,0.015478951,high,0,True,False,False,False,60.40999999642372
5,1013471,SYSADM.PS_BI_WNHCC_TAO,PS_BI_WNHCC_TAO,ADD_DTTM | ADDRESS1 | ADDRESS2 | ADDRESS3 | ADDRESS4 | ADDRESS_SEQ_NUM | ADDR_FIELD1 | ADDR_FIELD2 | ADDR_FIELD3 | BILL_TO_COPIES | BILL_TO_MEDIA | BUSINESS_UNIT | CITY | CNTCT_SEQ_NUM | COUNTRY | COUNTY | CUST_ID | CUST_NAME | EMAILID | ERROR_STATUS_BI | FAX | HOUSE_TYPE | IN_CITY_LIMIT | INVOICE | IVC_DELIVERED_FLG | LANGUAGE_CD | LAST_MAINT_OPRID | LAST_UPDATE_DTTM | NAME1 | NUM1 | NUM2 | POSTAL | PROCESS_INSTANCE | SEQ_NUM | STATE,ADD_DTTM:technical_timestamp | ADDRESS1:label | ADDRESS2:label | ADDRESS3:label | ADDRESS4:label | ADDRESS_SEQ_NUM:quantity | ADDR_FIELD1:label | ADDR_FIELD2:label | ADDR_FIELD3:label | BILL_TO_COPIES:quantity | BILL_TO_MEDIA:label | BUSINESS_UNIT:label | CITY:label | CNTCT_SEQ_NUM:quantity | COUNTRY:label | COUNTY:label | CUST_ID:identifier | CUST_NAME:label | EMAILID:label | ERROR_STATUS_BI:status | FAX:label | HOUSE_TYPE:classification | IN_CITY_LIMIT:label | INVOICE:label | IVC_DELIVERED_FLG:label | LANGUAGE_CD:label | LAST_MAINT_OPRID:user_identifier | LAST_UPDATE_DTTM:technical_timestamp | NAME1:label | NUM1:label | NUM2:label | POSTAL:postal_location | PROCESS_INSTANCE:processing_identifier | SEQ_NUM:quantity | STATE:status,Other,Other,Ventes & Clients,0.9960548,0.9923927,0.013884115,high,0,True,False,False,False,60.389999985694885
5,1120734,GM_IN_CONTAC_DT,PS_GM_IN_CONTAC_DT,EFFDT | EFF_STATUS | INSTID | SETID,EFFDT:date_or_timestamp | EFF_STATUS:status | INSTID:label | SETID:label,Other,Other,RH,0.99620533,0.992641,0.013411495,high,0,True,False,False,False,60.37999999523163
